speaker,start,end,text
,0,0,https://www.youtube.com/watch?v=nRgHHt4Cu18
SPEAKER_00,0.0,34.28," Так. Так, тарам-пам-пам, уважаемые участники нашего митапа. А мы таки начинаем. И не спрашивайте, кстати, меня, почему Артем сегодня без кепки, а я в кепке я вот не знаю почему так я был уверен что он и на стрим наденет кепку. Но Артем сам за себя потом расскажет, почему он так поступил. Скажите, пожалуйста, как меня видно и слышно, это оценка от 0 до 10 номер 1, а потом А потом скажет Артем тоже что-то."
SPEAKER_00,34.36,43.0," И вы также его оцените, как его слышно от 0 до до десяти, все, кепка есть. То есть две оценки с вас, пожалуйста. От нуля до десяти я, запятая Артем, от нуля до десяти."
SPEAKER_04,43.0,52.54," Артем, поприветствуй наших зрителей, пожалуйста. Да, дорогие друзья, добрый день. Всем привет! Много у вас собралось, очень рад всех видеть."
SPEAKER_00,52.98,60.64," Так, смотрите, у нас еще задержка где-то относительно того, что я сказал, вы услышите мои слова и слова Артема где-то секунд через 30."
SPEAKER_00,64.86,79.04," Поэтому... через 30. Поэтому будет вот такой временной лаг, да, Артем, тоже имей в виду, если что, но для тебя это не так важно. Все отлично. 10 из 10 вижу оценку Ильи. Спасибо, Илья. Дмитрий 8 из 10. Отлично, отлично. и Федькин подключился, но Федькин без оценок, Федькин, двойка тебе. Запись будет."
SPEAKER_00,81.78,118.86," Да, ребят, все, кто спрашивает про запись, запись будет. Сейчас мы где-то наверное минуты через две начнем прям уже контентную часть сейчас пока подождем опоздавших. Спасибо, Федькин. Так, Артема погромче. Сейчас сделаю Артема чутьи-ка еще что-нибудь еще раз еще еще слышно меня Слышите меня? Так, ребят, я сделал Артема погромче, кто-то услышал разницу или не услышал разницу, как Артема слышно. Поставьте, пожалуйста, что-нибудь скажите. Л стало Артема слышно или хуже? 9, 10, Дмитрий, отлично, отлично."
SPEAKER_00,119.0,151.84," Все, значит, чуть-чуть улучшилось. Здорово. Так, что же, у нас сегодня интересная тема. И сразу предупреждаю. Кстати, поставьте сейчас плюсы те, кто только-только начинает обновлять типовые, вот у кого еще большого опыта нет и три плюса. Те, кто типовые уже обновляет как боженька, да, тот, кто уже за свою жизнь 100 тысяч типовых обновил, чтобы нам понимать вообще, наша сегодняшняя аудитория то есть еще раз один плюсик, если вы только-только начали разобираться, что такое обновление."
SPEAKER_00,152.26,181.8," Может быть, аж целых, ну, три, не знаю, базы обновили и три плюсика, если вы уже суперкрутой в этом. Так, Артем, тебе, короче, обратная связь есть и одни один плюсик и три плюсика ребята ставят кто-то два плюсика ставит сразу Сразу скажу, ребята, кто поставил один плюсик. Вот вижу Ольга, Евгений, Мария, Экзибит. Экзибит сам с нами, нифига себе. И другие ребята. Материал, какой будет давать Артем, он не для новичков. Прав правильно, Артем?"
SPEAKER_00,189.92,228.64," Ну... Ну, как сказать, в силу того, что наступает ЕДТ, то, наверное, и для новичков тоже. В общем, вы сильно не переживайте, если то, что говорит Артем для вас сразу не очевидно, а те, кто уже совсем в теме, вам будет, конечно, здесь попроще и пожалуйста не забывайте, что у нас есть две отличные опции под названием «ер стикеры и суперчат – это платные стикеры и платные сообщения. Если вам внезапно нравятся метапы и все что делает желтый клуб то пожалуйста поддержите даже какая-нибудь какие-нибудь, какие-нибудь 40 рублей, а то и 50 рублей с вас не убудет, как это, меньше половины чашечки кофе, а нам, желтому клубу, будет приятно."
SPEAKER_00,240.0,240.08," Так, что же, все, мы дождались основной костяк, Арем у нас 65 человек сейчас в эфире мы тогда больше никого не ждем и потихонечку начинаем. Если будут вопросы,"
SPEAKER_00,253.76,257.14," задавайте. Я мониторю чат и буду вопросы зачитывать Артему тогда, когда будет это уместно, конечно, It will be possible, of course, to not stop it. Поэтому задавайте, интересуйтесь, все вопросы, ответим. Все, теперь я отключаюсь. Да, еще прошу прощения."
SPEAKER_00,260.04,260.56, Сейчас Артем начнет показывать код.
SPEAKER_00,266.18,266.52, Мы постарались сейчас с ним как-то максимально хорошую картинку выстроить.
SPEAKER_00,275.24,276.2," У нас это не супер круто получилось, поэтому прошу прощения заранее, там, кое-где придется приглядываться, так что уж простите меня."
SPEAKER_04,280.0,300.0," Все, Артем, я тогда замолкаю. Давай, жги. Ну, еще раз другое. Еще раз добрый день, добрый вечер, коллеги. Приятно, что все пришли в праздник. Я, правда, про это сегодня узнал только ближе к часам четырем вечера, потому что удивлялся, что не отвечают клиенты. Но не суть. Итак, говорим про обновление."
SPEAKER_04,311.96,317.56," Говорим про обновление не простых, необычных типовых конфигураций, а тех конфигураций которые были так или иначе доработаны. Есть, как говорится, стандартный подход с использованием конфигуратора."
SPEAKER_04,336.84,360.0," То есть мы берем, открываем нашу работную конфигурацию, загружаем туда, нажимаем сравнение объединения, загружаем, льем конфигурацию поставщика, ждем, когда она зальется, и начинаем расставлять галочки. Вот. Это, конечно, здорово, все здорово, но с доработанным конфигурациям появляется достаточно много проблем и процессор остановки галочек несколько затягивается. Плюс, какой еще минус, что мы не можем промежуточные результаты сохранить никак, то есть мы не можем полдня пообновлять, потом отложить на пару дней, порешать другие задачки, потом вернуться до обновления."
SPEAKER_04,371.1,372.02," Попробуем... Вот, попробуем посмотреть, как можно эти проблемы порешать. О чем мы, собственно, хотим, хочу я рассказать сегодня."
SPEAKER_04,379.14,379.96," Я хочу рассказать о тех подходах, которые использую в доработке, чтобы уменьшить боль от обновлений."
SPEAKER_04,385.76,386.76," Собственно, сам процесс обновлений и те инструменты, которыми я для этого пользуюсь."
SPEAKER_04,389.34,390.4, Таким образом можно проверить результаты обновлений.
SPEAKER_04,400.36,402.14," Ну и попробуем вспомнить о том, о чем иногда забываем в процессе обновления не будет Не будет сегодня расширений, я их не люблю. Не будет ЕДТ."
SPEAKER_04,415.7,417.4," Там, конечно, есть свои вкусности и интересности, но, к сожалению, в процессе, так скажем, рутинной работы никак не дойдут руки полностью проверить это, довести этот инструмент до какого-то промышленного использования."
SPEAKER_04,422.86,455.36," Не будем говорить о реструктуризации, о распределенных базах и точно не будем говорить про обычные формы потому что они не очень совместимы с детом Спасибо. Соответственно, момент самый первый и на самом деле самый важный во всем этом процессе – это то, каким образом необходимо выполнять доработки, чтобы чтобы обновления проходили максимально гладко. В принципе, те принципы, которые вы видите на слайдике, они на самом деле при обновлении с помощью конфигуратора тоже очень сильно помогут. То есть это максимально все доработки выполняем через код."
SPEAKER_04,456.5,490.0," Объекты поставщика не трогаем, делаем сбоку дублирующие объекты, все модификации на форму вводим кодом. И комментарии. Комментарии. Комментарии вносим в код только в том случае, если мы что-то поменяли в типовой. То есть, если пришел Вася и поменял за Ваней, то Вася не должен оставлять в том же месте второй свой комментарий. То есть многоэтажных комментариев нам не нужно, они только путают. А обычные комментарии, которые уделяют те места, где именно мы непосредственно носили изменения, они, в принципе, помогают."
SPEAKER_04,503.14,503.3," И вот здесь неу ссылочка, сносочка, да, у меня есть пара документиков, которые помогут как с доработками то есть это некие стандарты по доработке конфигурации."
SPEAKER_04,510.02,510.16, Там же рядышком лежат документы по организации инфраструктуры для доработки конфигурации 1С.
SPEAKER_04,516.04,524.42," В общем, почитайте, в принципе, может быть кому-то интересно. Итак, гид. Почему гид? Потому что быстрее и прикольней, и позволяет набраться новых знаний."
SPEAKER_04,533.28,557.62," Также он позволяет хранить историю обновлений, но об этом я скажу чуть позже, то есть это не всегда, не в базовом цикле, ну и сохраняет информацию об авторстве, да, это те самые те самые том числе комментарии позволяет этих комментариев избегать. Посмотрим на тот основной процесс, который применяется при обновлении. То есть кто знаком с ГИТитом хорошо, кто не знаком,"
SPEAKER_04,565.26,566.14," в принципе, особо много терминологии и дополнительных не будет, но все, надеюсь, знают, что в детей есть ветки."
SPEAKER_04,574.66,576.5," То есть с точки зрения, если перекладывать на нашу стандартную инфраструктуру, то, по сути, каждая ветка в детей – это суть отдельное хранилище."
SPEAKER_04,592.0,673.58," Но гид отличается тем, что то, что лежит в этих клетках, можно в том числе сравнивать между собой, сливать между собой вот и веток этих может быть достаточно много, а главное, все эти процессы работы с ветками происходят достаточно быстро. Итак, что мы начинаем. Мы начинаем, что мы... создаем наш новый репозиторий пишем гитернит, свободная папочка, берем нашу доработанную конфигурацию и извлекаем из нее конфигурацию поставщика лежит где-то рядышком отдельно например папочки шаблонами мы ее берем просто из папочки шаблонами загружая Загружаем конфигурацию поставщика в некую временную базу и нажимаем «Сохранить конфигурацию файла», и в качестве таргета указываем папочку которую мы создали в в которую завернули репозитарий Gix. Соответственно, идем, ждем, курим, и поэксперим. И по итогу мы получаем вот такую вот картинку. Это Это Сорбстрит, кто не знаком, клиент Вita, по сути, мы получаем первый комит под названием базовая конфигурация поставщика, и вот даже за авторством, лучше сохранить авторство поставщика типовой конфигурации. написано 1с на самом деле у меня в примере используется Битфинанс в бухгалтерии предприятия «Антар». Вот. Хочу оговориться, все процессы загрузки, выгрузки, слияния."
SPEAKER_04,673.66,695.58," Я показывать не буду, потому что, к сожалению, конфигурация большая, эти процессы занимают достаточно много времени, здесь замученными ходить. Поэтому я просто подготовил все промежуточное состояние репозитария в отдельных папочках и просто буду таким образом вам показывать. Следующий шаг."
SPEAKER_02,700.88,713.26," Создаем ветку поставщика. Я ее обычно называю boys 1с вот вот переключаемся, идите на эту ветку и повторяем уже манипуляцию С новой конфигурацией поставщика, на котором мы собираемся"
SPEAKER_04,713.26,745.44," обновить. Я, наверное, сейчас немножечко в порядке ошибся, но на самом деле это сильно нам не помешает. То есть мы загружаем новую конфигурацию поставщика, пойдем Пойдем в конфигуратор, делаем выгрузку файлы пометим вид и И, как я уже говорил, все немножечко тормозит. И в итоге получаем... и получая Похоже, по-кому как загрузится."
SPEAKER_00,745.78,755.46," Да ты пока можешь свой диспетчер задач показать, пока все тупит на какой машине ты это все это делаешь очень интересно ну это, это на самом деле"
SPEAKER_04,755.46,764.0," некоторые будут разочарования, что даже на этой машине оно все равно работает не близко. Аддока не машина, аддок, а не машина. Аддок."
SPEAKER_02,766.84,768.44," Да, смешно. Вот."
SPEAKER_04,787.06,789.76," Но, тем не менее мы получили в ветке поставщика новую конфигурацию поставщика пока у меня грузится картинка с гитомом. том а вот загрузилась. Вот она выгружена из меня."
SPEAKER_04,794.1,800.98," Выгружена, загружена загружена новая конфигурация поставщика вот мы на ветке поставщика, вот мы на ветке поставщика находимся, вот, немножечко порядок перепутал, но не важно. Не важно, в каком порядке это делать."
SPEAKER_02,821.0,850.74," То есть мы возвращаемся на ветку мастер и теми же манипуляциями с временнымными базами, с конфигуратором, грузим туда нашу доработанную конфигурацию и выполняем, опять же, выгрузку файла. И в итоге, соответственно, да, обратно получаем ту картиночку, которую я уже показал. То есть мы имеем Мы имеем конфигурацию с нашими доработками Okay. Se dá um somente para o Carlos. Сейчас он покажет. Вот они пошли, наши доработки. Вот, не без артефактов, вот эта куча справочных файлов,"
SPEAKER_04,851.9,893.16," но при но, в принципе, тем не менее, это особо не мешает. И имеем новую конфигурацию поставщика. Соответственно, в этот момент мы что делаем? Мы нажимаем веточку мастер и набираем команду git mergege base 1c и делаем. Да, есть порядок . Здесь вот сейчас как раз для оценки можем посмотреть насколько быстро происходит вот происходит. Убираем команду Merge, то есть слить вверх в текущую."
SPEAKER_04,894.76,902.7," И это, собственно, тот основной фронт работ, который выполняет конфигуратор при выполнении обновлений."
SPEAKER_02,902.8,910.2," Мы это выполняем сейчас на уровне файликов. Он сказал нам, что есть конфликт и слияния."
SPEAKER_02,912.3,913.0," Ну, давайте посмотрим."
SPEAKER_04,915.0,931.68, Их у нас получилосьольно немного. Некоторые артефакты с п файла поддержки.
SPEAKER_02,933.42,939.0, Ну и некоторое количество XML-ек. и в том числе есть наши
SPEAKER_00,939.0,968.74," файлы с кодом с доработками. здесь они мне Здесь я немножечко перейду чуть подальше, к слиянию мы еще вернемся к разрешению конфликтов подожди-ка, а если я это делаю через конфигуратор, Вот сейчас ты получил ту же самую картинку, как если бы я начал бы процесс обновления и мне бы выкинулось окно, типа, вот посмотри, какие у тебя, где изменения, да? Я выставляю там флажочек показать, только дожды измененные."
SPEAKER_04,969.98,1013.2," Вот поскольку ты дважды измененные сейчас показал грубо. Просто смотрите, в отличие от конфигуратора, гид, в принципе, даже не только ГИД, но и инструменты, собственно, слияния, объединения, они позволяют делать чуть больше автоматических действий, в том числе. В.ПУТИН. измененный код, если там не изменены одни и те же строки сейчас чуть позже момент покажу просто вот ну смотрите да еще раз ключевые точки какие у нас есть то есть нам нужно Вопросы Нам нужно подготовить репозиторий, нам нужно выполнить слияние и разрешение конфликтов и, собственно, загрузить реводирующую конфигурацию в конфигураторах."
SPEAKER_04,1013.7,1038.3," Здесь я хочу поговорить о тех вещах, о тех инструментах, которые, собственно, разработаны и существуют, которые часть этих проблем решают более автоматично, чем мы сейчас обсужда я сейчас говорю вообще про полностью ручной вариант который требует много внимания в процесс есть поставили загрузку, пошли чай пить, ну или своими делами заниматься, через два часа вспомнили, вернулись и так далее. То есть процесс затягивается."
SPEAKER_04,1044.0,1044.4," Вот. Первый инструмент, который, собственно, решает проблему с получением конфигурации поставщика."
SPEAKER_04,1052.5,1052.92," Более того, он решает проблему не только с получением конфигурации поставщика, но и с созданием репозитория гид-поставщика."
SPEAKER_04,1056.84,1056.94, То есть мы можем подготовиться заранее со всеми нужными нам релизами.
SPEAKER_04,1079.22,1079.3," Даже не нужными, а просто со всем спокойным. нам релизами даже не нужно просто общим списком релизов там с определенной даты. То есть инструмент называется «ЕТА НАЗА РЕЛИЗ-2010». «yet у нас релиз-донлоидер» лежитаде у меня, развивается, собственно, решает, какие задачи решать задачу загрузки релизов сам распаковывает шаблоны то есть не используют на такие сетапы просто полностью сам как архив его разбирает,"
SPEAKER_04,1081.84,1138.0," пойдет, делает тот же шаблон, как делает, собственно, установщик 1С. Полезная вещь для некоторых, ну сейчас менее актуальна раньше было сильно актуально, но он может последовательно, начиная с первого цифника, собрать из ЦФУшек полные ЦФники. По всему каталогу закачанных релизов конкретной конфигурации. То есть буквально вчера там своему коллеге по департаменту там сэкономил часов 10 на этом, иначе бы ему пришлось это делать руками он берет и все все ну есть на релиза на сайте, как оно называется, имя конфигурации на сайте указывается там начальная дата запускается, он все это качает, все дистрибутивы, все дистрибутивы распаковывают в каталог шаблонов по порядку вот после этого, соответственно, есть команда, которая говорит build цифру вот ЦФУ."
SPEAKER_04,1139.0,1148.18," Вот. Натравливаешь его на этот каталог, она находит последний готовый цехник, и все остальные цепушки на него накладывает и выгружает CFехники последовательно."
SPEAKER_04,1159.0,1176.08," Круто. И, соответственно, есть еще команда, которая позволяет вот этот каталог конфигурации из них создать репозитарий DIT. То есть она запускает конфигуратор, грузит CF, выгружает в REP, коммитит, пишет туда версию, берет следующую церкви и так далее пока церкви закончится частности, эта штука сейчас... используется,"
SPEAKER_00,1176.3,1193.96, я прям даже покажу в браузере где... Thank you. То есть таким образом мы подготавливаем конфигурацию поставщика и выгружаем ее в репозиторий до в группе товарищ 1 из синтекс.
SPEAKER_04,1194.58,1225.0," Так, сейчас вз уменьшим. Есть такой вот репозиторий, куда благодаря свободной лицензии 1С мы выгружаем bsp-код. БСПшку последовательно. Вот здесь 91H Commit есть. есть вот они последовательно все грузится туда собственно припозитарий существует в том числе, чтобы на нем, например, гонять сонар-куд, который, собственно, сообщество разрабатывает, да, плагин для 1С."
SPEAKER_02,1225.0,1245.74," Это делается вот этим инструментом, который зовется ЯРТ. Вот. То есть, окей, конфигурацию, значит, мы получили. Да, вот я здесь записал все да, все это на ускорбите написано, разумеется."
SPEAKER_04,1249.96,1250.5," Дальше, соответственно, те манипуляции, о которых я рассказывал выше,"
SPEAKER_04,1254.02,1254.14," вот хотим, чтобы оно выглядело приблизительно так."
SPEAKER_04,1260.94,1271.86," То есть на вход подаем нашу доработанную конфигурацию, новую конфигурацию поставщика, на выходе получаем обновленную конфигурацию. В этом случае, Так можно почти. Опять же, есть инструмент, лежит в организации Silver Bulleters. Называется Rector. называется Reptor."
SPEAKER_04,1282.94,1298.0," Сразу скажу, инструмент пока еще не все задачи, которые у него возлож невозможно решает, но тем не менее, вот эту вторую обозначенную задачу, подготовку репозиитария для выполнения объединения он решает то есть что на выход? На вход подается. На вход подаем, например, в наше хранилище доработки которые мы ведем разработку и также на вход подаем цехничек с новой конфигурацией поставщика."
SPEAKER_04,1305.06,1305.26," Вот. Соответственно, это все бурбулирует некоторое время на текущей конфигурации,"
SPEAKER_04,1321.16,1323.32," где-то это, ну, показываю дабы бы пехи финансто порядка часов трех занимает работа, но вполне приличная машина, но манипуляций много, файлов много поэтому так но в итоге мы получаем вот тот самый репозиторий который я до этого показал. То есть уже вот в таком вот виде,"
SPEAKER_04,1334.12,1335.28," где выгружены все три конфигурации, выполнено слияние, и нам остается только порешать конфликты. Штука полезная, можно пользоваться."
SPEAKER_04,1337.42,1337.74," Ну, про два остальных пункта я скажу."
SPEAKER_04,1340.0,1373.88," То есть, первый пункт, он там реализован, то есть это мы на вход подаем хранилище, которому ввели разработку, а на выходе мы хотим получить репозитарий в котором есть уже две ветки то то есть ветка из нашими доработками, отдельная ветка поставщика. Это работает, но, к сожалению, работает пока что очень долго вот и, скажем так, в списке задач стоит сделать еще третий вариант работы, да, что мы подаем на вход просто два репозитария наши с поставщ, и он из них собирает один."
SPEAKER_02,1374.54,1383.08, Но здесь пока руки не дошли до наших конфликтов.
SPEAKER_04,1383.08,1389.12," А, ну вот это я все рассказал уже, это мы можем пропустить. Слияние разрешения конфликтов."
SPEAKER_04,1393.34,1394.02," Соответственно, для этого существуют, опять же, сторонние инструменты."
SPEAKER_04,1405.94,1406.1," Я как поисторически сложилось, пользуюсь кодифом вот есть еще вараксис прочее прочее прочее вот давайте прямо на наш примерчике посмотрим,"
SPEAKER_04,1409.36,1452.0," как этот процесс будет выглядеть. Ну, сначала, вот часть конфликтов, которые на самом деле не конфликты, а артефактами порешаем ручками да то есть мы точно знаем, что мы... вот эти файлы справки прости господи не трогали никогда в жизни. Мы просто заменяем на версию от поставщика. Слушай, а почему тогда файл справки здесь оказался, если мы его не меняли? Почему он? Скажем так, конфигурации имеют некую историю, исторический хвост, в том числе историю обновлений и поэтому по результатам обновлений зачастую остаются всякие разные артефакты."
SPEAKER_04,1452.0,1477.72," То есть это могут быть переносы строк, это могут быть там рука дрогнула, галочку сняли не нажали короче они вылезают когда приходит первый раз конфигурация на, скажем так, ко мне на обновление, то где-то за пару итераций она становится довольно чистой сюда-то очень чистенькая сейчас то есть это, в принципе, пример на самом деле клиентский, я ее обновляю регулярно, но все равно так или иначе периодически что-то вылезает."
SPEAKER_00,1478.04,1488.1," То есть это не то, чтобы какой-то там парсер, не знаю, тупит или еще что-то тупит. Это реально прям исторические данные какие-то вещи которые вещи, которые там остались."
SPEAKER_04,1488.28,1502.12," Ну, в основном причины в этом. То есть понятно, что есть еще причины 1С-ной выгрузки, там года три назад, что вообще две разные конфигурации получались если выгить и загрузить файлы."
SPEAKER_02,1513.44,1513.64," Вот, сейчас, кстати, Сейчас с этим гораздо лучше. но тем не менее что-то еще остается."
SPEAKER_04,1567.98,1592.0," Бинармички мы тоже забираем Gracias. . Thank you. . All right. Gracias. Czy? Слушай, там у нас в анонсе заявлено, за полчаса обновимся, мы точно успеем за полчаса обновиться. Ну, спасибо. нет объективно это сейчас ты просто жмешь вот эту кнопку разрешить конфликты для тех пунктов как то в которых ты уверен что здесь понятно что как бы знание конфигурации, ну, как скажем, такое недоскональное до запятой, но абстрактное представление о том, с чем ты имеешь дело, да, оно, разумеется, помогает, то есть оно гораздо ускоряет процесс, потому что... Потому что ты понимаешь, что вот точно никто не лет да там какую-нибудь там маркировку."
SPEAKER_00,1592.0,1598.56," А если джун по незнанию залез какой-нибудь,нибудь у вас джунов не бывает у нас нет у нас женов не бывает."
SPEAKER_04,1598.82,1637.96," У нас, не считая пули, у нас еще родилось сопровождение корпоративных клиентов, а так как корпоративных клиентов мы сопровождаем после проектников, то мы джиннов себе позволить не можем вот ну вот вот Ну вот, в итоге мы все приняли. Остался некоторый набор файликов до которые ну которые теоретически могут вызывать какое-то подозрение. И вот для этого мы запускаем внешний утилит снияния. Сейчас я ее перетащу вам. Well. Так, что будет. Что она нам говорит?"
SPEAKER_04,1638.06,1644.32," Она говорит, что у нас есть один конфликт. Это, собственно, файл конфигурации. Мы смотрим, что это такое."
SPEAKER_04,1648.94,1650.5," Ага, это значит, в базе ничего не было."
SPEAKER_00,1658.36,1659.8," 1С 1С, это, соответственно, третье окошко. Слушай, да, ты можешь пока для таких как я объяснить, что значит первое окно, второе, третье и что внизу."
SPEAKER_04,1660.72,1662.62, Мне страшно. Это базовое пепель.
SPEAKER_04,1664.92,1665.18," Первое окошко – это базовая конфа,"
SPEAKER_04,1673.18,1673.34," относительно которой мы выполняем сравнение, то есть мы ее сравниваем с нашими доработками это второе окошко,"
SPEAKER_04,1681.82,1724.5," и ее сравниваем с новой конфигурации поставщика вот и тут мы видим, что, видимо, в прошлый раз мы не ударили какой-то из типовых объектов Гидфинанса. И к нам прилетел еще на это место объектик вот один АСА ну окей, хорошо, мы говорим, что мы используем из третьего окошка. Вот внизу мы видим результат объединения. Результат объединения при необходимости можно ручками подправить. Все, больше конфликтов это файлики нет нажимаем сохранить и переходим к следующему файлику. Блин, я сейчас буду внимательным, потому что я нифига не понял что ты сделал сейчас попробую собраться с силами почти делать ничего не будет но я сейчас скажу там будет такой интересный пример вот смотрите очередной файл это общая форма константа она открылась, но до этого ничего красного нету."
SPEAKER_04,1724.58,1732.74," Это значит, что Кадив сам умудрился слить все эти тексты. И, собственно, от нас никаких ручных действий не требуется."
SPEAKER_00,1732.84,1748.0," Ты говоришь, ничего красного нет, а я прям вижу там куча красных всяких пометок. Не то красное. Не все то красное, что красным горит, да? Повторяю фокус. Давай, давай. Ну реально, вот это магия. Понятно, для тебя это все просто."
SPEAKER_04,1748.0,1758.88," Красное, красное, да, но это конкретно Кадзил, да, он вот на этих стрелочках обозначает переход конфликту. Видишь подпись? Go to next and universal conflict. Соответственно, стрелочка недоступна."
SPEAKER_04,1766.94,1767.26," Это значит, что... недоступна это значит что конфликтов нету то есть конфликт это именно то что нужно решать руками вот здесь все, Кадив за нас все решил."
SPEAKER_04,1774.7,1776.74," Вот эта вся раскраска – это просто, ну, собственно, раскраска кода который там был изменен удален и так далее."
SPEAKER_04,1783.96,1786.96," Ну, на этот, в принципе,о обращать внимание в процессе обновления не приходится. Вот. Смотрим. Мы уже третий файлик открываем,"
SPEAKER_00,1787.06,1812.0," и нам кодиф опять же за нас все решает.ают данном случае он модуль пришел что значит репо решал муж вот еще для сам взял и тексты модуля объединил то есть он добавил в данном примере вот эту строчку «бит визирование сервера вот и взял, соответственно, изменения поставщика. То есть он получается умнее, чем в стандартный фейханизм,"
